Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec,Gaia DR3 Source ID,Gaia Match Sep arcsec
V599 Ori,332914217,Cody et al.,,8616.9,2.4814,12.786575,2.337121,Herbig Ae/Be,A4-A6,J05385862-0716457,11.66,N,84.74424999999998,-7.279361111111111,3016081586083297024,0.2997382587561749
V350 Ori,332970982,Cody et al.,,,2.5227,11.612588,0.787162,Herbig Ae/Be,A1-A3,J05401176-0942110,11.4,N,85.04899999999999,-9.703055555555554,3012097059023353216,0.11561474539012587
VOS 48,335623526,Cody et al.,,6038.0,1.0814,14.007549,1.682296,Herbig Ae/Be,G0,J22114281+6036433,13.15,N,332.92837499999996,60.612027777777776,2204517656901678848,0.04558154070391513
VOS 1245,336518731,Cody et al.,,,0.562,13.930675,0.95651,Herbig Ae/Be,A0,J14185145-6124377,13.55,Y,214.714375,-61.41047222222222,5854532425868957184,0.18530097069079576
AK Sco,339989392,Cody et al.,,,7.1543,9.064188,0.927548,Herbig Ae/Be,F7-G5,J16544485-3653185,8.79,N,253.68687499999996,-36.88847222222222,5971474902099064576,0.5466216365218368
VOS 475,341984965,Cody et al.,,11183.5,0.2377,13.171373,0.38134,Herbig Ae/Be,B9.5,J22111311+5253341,13.02,Y,332.804625,52.892805555555555,2004435162317441280,0.1535012394643695
BD+30 549,349354945,Cody et al.,,,3.4802,10.32428,0.957591,Herbig Ae/Be,B8,J03291977+3124572,9.9,N,52.33237499999999,31.415888888888887,121406905707934464,0.36588561353188626
GSC 8581-2002,355320922,Cody et al.,,,1.8644,10.723349,0.383466,Herbig Ae/Be,B9,J08442365-5956578,10.55,N,131.09854166666665,-59.94938888888888,5302462139974866944,0.11602606178841154
VOS 481,355676575,Cody et al.,,5432.9,1.8835,13.294857,1.524037,Herbig Ae/Be,F6-G4,J19251419+2240382,12.52,N,291.309125,22.67727777777778,2019217237173395968,0.12514851451163614
HBC 705,356608297,Cody et al.,,6324.7,0.4252,13.455818,2.243868,Herbig Ae/Be,B2,J20510271+4349318,12.34,N,312.76129166666664,43.825500000000005,2066856327196978048,0.07800052875962242
HD 104237,357040880,Cody et al.,,10025.8,9.3805,6.558351,0.383279,Herbig Ae/Be,A5-A7,J12000511-7811346,6.35,N,180.02129166666663,-78.19294444444445,5836666564476158336,0.7019877934296433
