Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec
DG Cir,454215115,Cody et al.,,,,,,Ae*,A2-A3,J15032380-6322588,11.72,N,225.84916666666663,-63.383
HD 132947,454274408,Cody et al.,,,,,,Or*,B8-B9,J15045606-6307526,8.91,N,226.23358333333329,-63.131277777777775
HD 97048,454291762,Cody et al.,,,,,,Ae*,B8,J11080329-7739174,8.07,N,167.0137083333333,-77.65483333333334
LkHa 257,455573060,Cody et al.,,,,,,Ae*,A1-A2,J21541877+4712096,12.51,N,328.5782083333333,47.20266666666667
VOS 56,456030854,Cody et al.,,,,,,**,A4,J22411697+6302377,13.18,Y,340.3207083333333,63.04380555555555
HD 290409,457231768,Cody et al.,,,,,,Or*,B9,J05270547+0025075,9.88,N,81.77279166666666,0.41875
PDS 322,459571845,Cody et al.,,,,,,Or*,B2,J10520871-5612066,11.82,N,163.03629166666664,-56.20183333333333
HD 94509,459699513,Cody et al.,,,,,,Be*,B7,J10532726-5825245,9.15,N,163.3635833333333,-58.42347222222222
HD 287823,459990291,Cody et al.,,,,,,Or*,A4-A6,J05240804+0227468,9.58,N,81.0335,2.463
HD 305298,460571412,Cody et al.,,,,,,Or*,O,J10330498-6019513,9.46,N,158.27075,-60.33091666666667
HD 87643,462436722,Cody et al.,,,,,,Or*,B4,J10043028-5839521,8.04,N,151.12616666666662,-58.66447222222222
PDS 37,462878642,Cody et al.,,,,,,Or*,B2-B3,J10100032-5702073,11.51,N,152.50133333333332,-57.03536111111111
MWC 878,463597276,Cody et al.,,,,,,Ae*,B0,J17244469-3843514,9.62,N,261.1862083333333,-38.73094444444445
HD 323771,465196254,Cody et al.,,,,,,Or*,B5-B6,J17340462-3923413,10.72,N,263.51924999999994,-39.39480555555556
PDS 324,465790701,Cody et al.,,,,,,Or*,B2-B3,J10572427-6253132,13.62,N,164.35112499999997,-62.887
SV Cep,467356861,Cody et al.,,,,,,Ae*,A3-A4,J22213319+7340270,10.03,N,335.38829166666665,73.67416666666666
AS 470,469534433,Cody et al.,,,,,,Or*,A4-A7,J21361422+5721309,11.49,Y,324.05924999999996,57.358583333333335
XY Per A,642035133,Cody et al.,,,,,,Ae*,B9,J03493638+3858556,9.12,Y,57.40158333333332,38.98211111111112
PDS 22,709004859,Cody et al.,,,,,,**,B9,J06033705-1453025,10.72,Y,90.90437499999999,-14.884027777777778
HD 76534,816058534,Cody et al.,,,,,,Be*,B2,J08550867-4327596,8.2,Y,133.78612499999997,-43.46655555555556
HD 141926,1139218134,Cody et al.,,,,,,HXB,B0,J15542182-5519443,8.21,Y,238.59091666666663,-55.32897222222223
